index;x;y;z
656;0.096725;-0.191727;-0.669708
657;0.108582;-0.102905;-0.294876
658;0.064133;-0.263214;-0.464005
659;0.211014;-0.378784;-0.571030
660;0.179367;-0.246170;-0.580322
661;0.021439;-0.397400;-0.802582
662;0.105682;-0.535065;-0.539703
663;0.129837;-0.565628;-0.743347
664;0.109421;-0.583160;-1.072189
665;0.022034;-0.536499;-1.152679
666;-0.123932;-0.474197;-1.087082
667;-0.155228;-0.582275;-1.090744
668;-0.027542;-0.674484;-1.121017
669;-0.052048;-0.481369;-1.115326
670;-0.105270;-0.315170;-0.997192
671;-0.032700;-0.399872;-0.748611
672;0.134125;-0.385590;-0.886322
673;0.006165;-0.358841;-0.765289
674;-0.036072;-0.293503;-0.682358
675;-0.005890;-0.297791;-0.678604
676;0.105988;-0.375931;-0.676804
677;0.132736;-0.443588;-0.711990
678;0.170334;-0.536316;-0.928406
679;0.204666;-0.513229;-1.087814
680;0.161346;-0.496979;-1.073624
681;0.173065;-0.494232;-1.112350
682;0.165497;-0.407211;-1.097885
683;0.224396;-0.412323;-1.132706
684;0.250778;-0.387878;-1.168121
685;0.184235;-0.296005;-1.056107
686;0.150543;-0.280518;-0.895615
687;0.199295;-0.269241;-0.739227
688;0.157089;-0.244904;-0.557510
689;0.188736;-0.375168;-0.537979
690;0.285065;-0.508392;-0.795517
691;0.156082;-0.404770;-0.840744
692;0.033630;-0.354446;-0.698730
693;0.177399;-0.439026;-0.682770
694;0.195343;-0.498795;-0.877029
695;0.098877;-0.511475;-1.082397
696;0.028381;-0.521790;-1.198425
697;0.034302;-0.481995;-1.150314
698;0.114746;-0.452881;-1.030609
699;0.296265;-0.462036;-1.110107
700;0.196991;-0.339432;-1.000534
701;0.017609;-0.344406;-0.798798
702;0.104614;-0.489487;-0.755524
703;0.132950;-0.474121;-0.770187
704;0.011887;-0.392395;-0.695908
705;0.021225;-0.357651;-0.601044
706;0.101822;-0.370895;-0.573441
707;0.095551;-0.430710;-0.637863
708;0.082458;-0.500824;-0.815430
709;0.124496;-0.603210;-1.045319
710;-0.011719;-0.536026;-1.190140
711;-0.078125;-0.509079;-1.162872
712;-0.022629;-0.480881;-1.119293
713;0.006165;-0.471161;-1.207794
714;0.053635;-0.481094;-1.329498
715;0.026245;-0.309204;-1.161560
716;0.076111;-0.291809;-0.897720
717;0.152267;-0.360077;-0.742035
718;0.161179;-0.348740;-0.611252
719;0.129333;-0.381256;-0.536697
720;0.146255;-0.490128;-0.626099
721;0.140991;-0.476746;-0.734955
722;0.020798;-0.427490;-0.670303
723;0.077774;-0.492844;-0.622757
724;0.154190;-0.620041;-0.753387
725;0.094101;-0.645645;-0.999374
